playlist_name;video_id;video_name;publication_date;views;likes;comments;duration
С научной точки зрения;yxNRrJ2vUzw;Почему нам снятся КОШМАРЫ?;2017-05-15T19:35:38Z;2510349;165114;15901;307
С научной точки зрения;wmvhsD5dni8;Раньше было лучше!;2017-05-17T10:01:26Z;1586915;100419;3051;432
С научной точки зрения;wXdhKhOWAv4;Почему нас УКАЧИВАЕТ?;2017-09-27T11:26:25Z;1975748;147851;5672;466
С научной точки зрения;i2Ekww1Vxu8;ТЕЛЕФОНЫ НАС УБИВАЮТ?!;2017-11-23T13:33:03Z;3782439;261858;10669;579
С научной точки зрения;bY5qN3cubeg;ЧЕЛОВЕК или МАШИНА? Кто умнее?;2018-03-29T13:02:32Z;3206340;208636;15734;946
С научной точки зрения;7plOaALOIYw;Как создать ПСИХОПАТА?;2018-10-31T19:56:10Z;2939018;247564;15473;683
ЛайкФакт;0tjyLcJTfag;Менделеев и его химический СОН;2017-03-19T08:30:00Z;1465453;124869;1397;93
ЛайкФакт;3mg7cWBkusU;Попробуй запретить мне ХРУСТЕТЬ ПАЛЬЦАМИ!;2017-03-29T05:31:35Z;2469253;200787;4643;119
ЛайкФакт;uxSxRG3z7CU;ОРУЖИЕ в открытом космосе! ЗАЧЕМ?;2017-04-12T09:26:14Z;1591195;98895;1825;247
ЛайкФакт;MDluBJjfVvQ;Какого цвета ВОДА ?;2017-04-27T10:31:18Z;2144002;185047;2699;128
ЛайкФакт;va0nsd0EBjY;Как ОГРАБИТЬ банк и остаться безнаказанным?;2017-04-28T14:47:00Z;1893333;130767;3187;314
ЛайкФакт;rfWi4K4haPs;Заразительное ЗЕВАНИЕ;2017-05-03T19:57:48Z;1275820;109505;5613;323
ЛайкФакт;gTa2zH7Y0pw;КРОВАВЫЙ ПОЛИЦЕЙСКИЙ!;2017-07-24T13:19:54Z;1736402;119008;1892;337
ЛайкФакт;emHvE7tbMNg;СМЕРТЕЛЬНЫЙ ПЕРЕВОД!;2017-07-31T09:32:07Z;2282549;150610;3551;380
ЛайкФакт;JLwm2sUS-Dg;НОВЫЙ ГОД в нашей ГОЛОВЕ!;2017-12-30T13:47:09Z;1097687;116413;5515;518
ЛайкФакт;W_cn-oRZMco;Вот бы не допустить ошибку!;2018-08-03T16:43:28Z;3233466;235964;10660;650
ЯСН!;Pb-Esfq9gUY;КОКА-КОЛА НЕ ОПАСНА?!;2016-09-11T09:38:25Z;4882460;345136;14446;415
ЯСН!;z2OL08wz8mA;ЗАЧЕМ ЁЛКА НА ПОТОЛКЕ?;2016-12-31T13:01:55Z;404700;40466;806;519
ЯСН!;TmwnQToweNw;Кто у нас врёт? Правда о ДЕТЕКТОРЕ ЛЖИ;2017-02-21T09:00:01Z;3109615;189525;3180;503
ЯСН!;iyAtWqy9S7o;Можно ли ЗАСТАВИТЬ людей подчиняться вам ?!;2017-03-23T19:50:52Z;2875453;273632;7715;557
ЯСН!;CW0g4vY5Vec;Почему мы НИЧЕГО не помним?;2017-06-13T19:31:02Z;3481260;218251;19368;497
ЯСН!;P9BaUITjc-o;ПРИВИВКИ УБИВАЮТ?!;2017-06-24T20:13:13Z;3803679;208822;21849;1226
ЯСН!;IqEoZiX_G3c;Правда про ОТПЕЧАТКИ ПАЛЬЦЕВ;2017-07-19T12:37:52Z;2977837;200335;3731;727
ЯСН!;MU186faO-3w;Ходить ночью ЗАКОНОМ НЕ ЗАПРЕЩЕНО!;2017-09-22T15:24:55Z;2809883;181153;6980;594
ЯСН!;rFhrdwQ9-zQ;КВАНТОВОЕ БЕССМЕРТИЕ и не только;2018-04-08T16:01:26Z;7154211;498982;33135;961
ЯСН!;NbVuM2GH7fY;ВИЧ/СПИД = ЗАГОВОР?;2018-07-27T20:20:33Z;5386860;391170;29888;2176
Films;Rk5lyRk3EPs;Split second - Short horror film;2016-08-04T17:56:06Z;86474;5028;219;288
ЖизаПережиза;JXDXu8BL2lM;ЖизаПережиза [ЖП] - СВЕТ;2015-09-23T21:42:17Z;99023;9545;94;59
ЖизаПережиза;sfKf1jaR2d0;ЖизаПережиза [ЖП] - ТЕЛЕФОН;2015-09-23T21:47:17Z;69071;5750;54;23
Топ Сикрет;--V9Azh4MKs;КУКЛА АННАБЕЛЬ [Топ Сикрет];2017-08-13T17:58:39Z;12682559;475117;35675;817
Топ Сикрет;MZY4O_ud0vg;ВСЕ ТАЙНЫ БЕРМУДСКОГО ТРЕУГОЛЬНИКА [Топ Сикрет];2017-10-18T17:05:55Z;11489498;564012;21937;1702
Топ Сикрет;aCXO0xgM9ag;МЕГАЛОДОН ЖИВ! [Топ Сикрет];2018-09-08T07:19:22Z;8651473;490170;24073;1658
Топ Сикрет;giuHoRkiGIs;ЧТО ПРЕДСКАЗЫВАЛ НОСТРАДАМУС? [Топ Сикрет];2018-10-29T20:26:41Z;8149827;399799;25747;2259
Топ Сикрет;uIdMFdcTmyo;ПЕРЕВАЛ ДЯТЛОВА [Топ Сикрет];2016-01-29T18:10:14Z;7922068;390236;12733;852
Топ Сикрет;xINCA3RvqUE;ВАШИНГТОНСКАЯ КАРУСЕЛЬ / Самый необъяснимый случай НЛО [Топ Сикрет];2020-04-02T10:06:07Z;7543646;528366;38837;2660
Топ Сикрет;-RNFkcaoL1k;СИМПСОНЫ ЗНАЮТ ВСЁ | ПРЕДСКАЗАНИЯ [Топ Сикрет];2019-10-28T17:22:44Z;7053908;506067;23704;1467
Топ Сикрет;jRVVOmhGeqI;ЗДЕСЬ КТО-НИБУДЬ ЕСТЬ? [Топ Сикрет];2019-02-19T18:17:38Z;6708307;393311;23687;2403
Топ Сикрет;mjKCFVkw7vY;ФАЙЛЫ ПЕНТАГОНА | Что сняли пилоты? [Топ Сикрет];2020-06-09T10:45:39Z;6641523;424537;25799;2785
Топ Сикрет;tt3Kc9ddR2A;Я СЛЫШУ ГОЛОСА В БЕЛОМ ШУМЕ! [Топ Сикрет];2019-05-20T13:09:40Z;6599747;381522;28841;2637
Топ Сикрет;Xt8tWhJE7fs;ПЫТАЕМСЯ РАЗГЛЯДЕТЬ МОНСТРА. Рейк [Топ Сикрет];2017-09-07T09:52:02Z;6305926;347194;16035;1084
Топ Сикрет;tgeyTIUybNM;ДРЕВНИЕ ТЕХНОЛОГИИ [Топ Сикрет];2018-07-05T08:20:32Z;6065967;363309;22237;1105
Топ Сикрет;NWEjfDCAJPw;В отражении можно увидеть НЕ ТОЛЬКО себя [Топ Сикрет];2017-04-21T20:56:49Z;5907108;327659;15313;720
